tz,ty,diff,city
America/Juneau,Canonical,-09:00,Juneau
America/Kentucky/Louisville,Canonical,-05:00,Louisville
America/Kentucky/Monticello,Canonical,-05:00,Monticello
America/Kralendijk,Alias,-04:00,Kralendijk
America/La_Paz,Canonical,-04:00,La Paz
America/Lima,Canonical,-05:00,Lima
America/Los_Angeles,Canonical,-08:00,Los Angeles
America/Lower_Princes,Alias,-04:00,Lower Princes
America/Maceio,Canonical,-03:00,Maceio
America/Managua,Canonical,-06:00,Managua
America/Manaus,Canonical,-04:00,Manaus
America/Marigot,Alias,-04:00,Marigot
America/Martinique,Canonical,-04:00,Martinique
America/Matamoros,Canonical,-06:00,Matamoros
America/Mazatlan,Canonical,-07:00,Mazatlan
America/Menominee,Canonical,-06:00,Menominee
America/Merida,Canonical,-06:00,Merida
America/Metlakatla,Canonical,-09:00,Metlakatla
America/Mexico_City,Canonical,-06:00,Mexico City
America/Miquelon,Canonical,-03:00,Miquelon
America/Moncton,Canonical,-04:00,Moncton
America/Monterrey,Canonical,-06:00,Monterrey
America/Montevideo,Canonical,-03:00,Montevideo
America/Montserrat,Alias,-04:00,Montserrat
America/Nassau,Canonical,-05:00,Nassau
America/New_York,Canonical,-05:00,New York
America/Nipigon,Canonical,-05:00,Nipigon
America/Nome,Canonical,-09:00,Nome
America/Noronha,Canonical,-02:00,Noronha
America/North_Dakota/Beulah,Canonical,-06:00,Beulah
America/North_Dakota/Center,Canonical,-06:00,Center
America/North_Dakota/New_Salem,Canonical,-06:00,New Salem
America/Nuuk,Canonical,-03:00,Nuuk
America/Ojinaga,Canonical,-07:00,Ojinaga
America/Panama,Canonical,-05:00,Panama
America/Pangnirtung,Canonical,-05:00,Pangnirtung
America/Paramaribo,Canonical,-03:00,Paramaribo
America/Phoenix,Canonical,-07:00,Phoenix
America/Port-au-Prince,Canonical,-05:00,Port-au-Prince
America/Port_of_Spain,Canonical,-04:00,Port of Spain
America/Porto_Velho,Canonical,-04:00,Porto Velho
America/Puerto_Rico,Canonical,-04:00,Puerto Rico
America/Punta_Arenas,Canonical,-03:00,Punta Arenas
America/Rainy_River,Canonical,-06:00,Rainy River
America/Rankin_Inlet,Canonical,-06:00,Rankin Inlet
America/Recife,Canonical,-03:00,Recife
America/Regina,Canonical,-06:00,Regina
America/Resolute,Canonical,-06:00,Resolute
America/Rio_Branco,Canonical,-05:00,Rio Branco
America/Santarem,Canonical,-03:00,Santarem
America/Santiago,Canonical,-04:00,Santiago
America/Santo_Domingo,Canonical,-04:00,Santo Domingo
America/Sao_Paulo,Canonical,-03:00,Sao Paulo
America/Scoresbysund,Canonical,-01:00,Scoresbysund
America/Sitka,Canonical,-09:00,Sitka
America/St_Barthelemy,Alias,-04:00,St Barthelemy
America/St_Johns,Canonical,-03:30,St Johns
America/St_Kitts,Alias,-04:00,St Kitts
America/St_Lucia,Alias,-04:00,St Lucia
America/St_Thomas,Alias,-04:00,St Thomas
America/St_Vincent,Alias,-04:00,St Vincent
America/Swift_Current,Canonical,-06:00,Swift Current
America/Tegucigalpa,Canonical,-06:00,Tegucigalpa
America/Thule,Canonical,-04:00,Thule
America/Thunder_Bay,Canonical,-05:00,Thunder Bay
America/Tijuana,Canonical,-08:00,Tijuana
America/Toronto,Canonical,-05:00,Toronto
America/Tortola,Alias,-04:00,Tortola
America/Vancouver,Canonical,-08:00,Vancouver
America/Whitehorse,Canonical,-07:00,Whitehorse
America/Winnipeg,Canonical,-06:00,Winnipeg
America/Yakutat,Canonical,-09:00,Yakutat
America/Yellowknife,Canonical,-07:00,Yellowknife
Antarctica/Casey,Canonical,+11:00,Casey
Antarctica/Davis,Canonical,+07:00,Davis
Antarctica/DumontDUrville,Canonical,+10:00,DumontDUrville
Antarctica/Macquarie,Canonical,+10:00,Macquarie
Antarctica/Mawson,Canonical,+05:00,Mawson
Antarctica/McMurdo,Alias,+12:00,McMurdo
Antarctica/Palmer,Canonical,-03:00,Palmer
Antarctica/Rothera,Canonical,-03:00,Rothera
Antarctica/Syowa,Canonical,+03:00,Syowa
Antarctica/Troll,Canonical,+00:00,Troll
Antarctica/Vostok,Canonical,+06:00,Vostok
Arctic/Longyearbyen,Alias,+01:00,Longyearbyen
Asia/Aden,Alias,+03:00,Aden
Asia/Almaty,Canonical,+06:00,Almaty
Asia/Amman,Canonical,+02:00,Amman
Asia/Anadyr,Canonical,+12:00,Anadyr
Asia/Aqtau,Canonical,+05:00,Aqtau
Asia/Aqtobe,Canonical,+05:00,Aqtobe
Asia/Ashgabat,Canonical,+05:00,Ashgabat
Asia/Atyrau,Canonical,+05:00,Atyrau
Asia/Baghdad,Canonical,+03:00,Baghdad
Asia/Bahrain,Alias,+03:00,Bahrain
Asia/Baku,Canonical,+04:00,Baku
Asia/Bangkok,Canonical,+07:00,Bangkok
Asia/Barnaul,Canonical,+07:00,Barnaul
Asia/Beirut,Canonical,+02:00,Beirut
